GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
22	rs4871771	8	128021488	rs1487241	2018-09-20	28869591	Kemp JP	2017-09-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28869591	Identification of 153 new loci associated with heel bone mineral density and functional involvement of GPC6 in osteoporosis.	Heel bone mineral density	76,067 European ancestry women, 66,420 European ancestry men	NA	8q24.21	PCAT1	PCAT1			ENSG00000253438			rs1487241-A	rs1487241	0	1487241	intron_variant	0	0.321941	1E-6	6.0	(women)	0.0251997	[0.016-0.035] unit increase	NR [17166351] (imputed)	N
22	rs4871771	8	128021488	rs1487241	2018-10-18	30048462	Kim SK	2018-07-26	PLoS One	www.ncbi.nlm.nih.gov/pubmed/30048462	Identification of 613 new loci associated with heel bone mineral density and a polygenic risk score for bone mineral density, osteoporosis and fracture.	Heel bone mineral density	394,929 European ancestry individuals	NA	8q24.21		PCAT1			ENSG00000253438			rs1487241-?	rs1487241	0	1487241	intron_variant	0	NR	8E-42	41.096910013008056		0.0290413	[0.025-0.033] unit increase	Affymetrix [20259828] (imputed)	N
22	rs4871771	8	128021488	rs1487241	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Heel bone mineral density	approximately 446,000 European ancestry individuals	NA	8q24.21		PCAT1			ENSG00000253438			rs1487241-?	rs1487241	0	1487241	intron_variant	0	NR	7E-42	41.15490195998574				NR [~ 8900000] (imputed)	N
22	rs77541621	8	128077146	rs77541621	2016-07-15	26034056	Hoffmann TJ	2015-06-01	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/26034056	A large multiethnic genome-wide association study of prostate cancer identifies novel risk variants and substantial ethnic differences.	Prostate cancer	6,406 European ancestry cases, 601 African American cases, 288 East Asian ancestry cases, 488 Latino cases30,866 European ancestry controls, 1,650 African American controls, 2,938 East Asian ancestry controls, 3,141 Latino controls	4,599 European ancestry cases, 2,265 African American cases, 2,940 European ancestry controls, 2,414 African American controls	8q24.21	NR	PCAT1			ENSG00000253438			rs77541621-A	rs77541621	0	77541621	non_coding_transcript_exon_variant	0	0.022	2E-26	25.69897000433602	(conditioned, EA)	2.0408163	[1.79-2.33]	Affymetrix [up to 19977088] (imputed)	N
22	rs56005245	8	128093297	rs1016343	2008-06-16	18264097	Eeles RA	2008-02-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18264097	Multiple newly identified loci associated with prostate cancer susceptibility.	Prostate cancer	1,854 European ancestry cases, 1,894 European ancestry controls	3,268 European ancestry cases, 3,366 European ancestry controls	8q24.21	intergenic	PCAT1, CASC19, PRNCR1			ENSG00000253438, ENSG00000254166, ENSG00000282961			rs1016343-T	rs1016343	0	1016343	non_coding_transcript_exon_variant	0	0.18	1E-7	7.0		1.37	[NR]	Illumina [541129]	N
22	rs56005245	8	128093297	rs1016343	2011-07-30	21743057	Schumacher FR	2011-07-08	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/21743057	Genome-wide association study identifies new prostate cancer susceptibility loci.	Prostate cancer	2,782 European ancestry cases, 4,458 European ancestry controls	7,358 European ancestry cases, 6,732 European ancestry controls	8q24.21	intergenic	PCAT1, CASC19, PRNCR1			ENSG00000253438, ENSG00000254166, ENSG00000282961			rs1016343-T	rs1016343	0	1016343	non_coding_transcript_exon_variant	0	NR	4E-10	9.397940008672037		1.31	[1.20-1.42]	Illumina [571243]	N
22	rs56005245	8	128093297	rs1016343	2016-07-15	26034056	Hoffmann TJ	2015-06-01	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/26034056	A large multiethnic genome-wide association study of prostate cancer identifies novel risk variants and substantial ethnic differences.	Prostate cancer	6,406 European ancestry cases, 601 African American cases, 288 East Asian ancestry cases, 488 Latino cases30,866 European ancestry controls, 1,650 African American controls, 2,938 East Asian ancestry controls, 3,141 Latino controls	4,599 European ancestry cases, 2,265 African American cases, 2,940 European ancestry controls, 2,414 African American controls	8q24.21	NR	PCAT1, CASC19, PRNCR1			ENSG00000253438, ENSG00000254166, ENSG00000282961			rs1016343-T	rs1016343	0	1016343	non_coding_transcript_exon_variant	0	0.21	5E-21	20.30102999566398	(European)	1.28	[1.21-1.34]	Affymetrix [up to 19977088] (imputed)	N
22	rs56005245	8	128093297	rs1016343	2016-07-15	26034056	Hoffmann TJ	2015-06-01	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/26034056	A large multiethnic genome-wide association study of prostate cancer identifies novel risk variants and substantial ethnic differences.	Prostate cancer	6,406 European ancestry cases, 601 African American cases, 288 East Asian ancestry cases, 488 Latino cases30,866 European ancestry controls, 1,650 African American controls, 2,938 East Asian ancestry controls, 3,141 Latino controls	4,599 European ancestry cases, 2,265 African American cases, 2,940 European ancestry controls, 2,414 African American controls	8q24.21	NR	PCAT1, CASC19, PRNCR1			ENSG00000253438, ENSG00000254166, ENSG00000282961			rs1016343-T	rs1016343	0	1016343	non_coding_transcript_exon_variant	0	0.21	6E-21	20.221848749616356		1.25	[1.19-1.30]	Affymetrix [up to 19977088] (imputed)	N
22	rs13257371	8	128095156	rs13252298	2011-07-30	21743057	Schumacher FR	2011-07-08	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/21743057	Genome-wide association study identifies new prostate cancer susceptibility loci.	Prostate cancer	2,782 European ancestry cases, 4,458 European ancestry controls	7,358 European ancestry cases, 6,732 European ancestry controls	8q24.21	intergenic	PCAT1, PRNCR1, CASC19			ENSG00000253438, ENSG00000282961, ENSG00000254166			rs13252298-A	rs13252298	0	13252298	non_coding_transcript_exon_variant	0	NR	4E-6	5.3979400086720375	(conditioned on 5 SNPs)	1.12	[1.05-1.18]	Illumina [571243]	N
22	rs13257371	8	128095156	rs13252298	2016-07-15	26034056	Hoffmann TJ	2015-06-01	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/26034056	A large multiethnic genome-wide association study of prostate cancer identifies novel risk variants and substantial ethnic differences.	Prostate cancer	6,406 European ancestry cases, 601 African American cases, 288 East Asian ancestry cases, 488 Latino cases30,866 European ancestry controls, 1,650 African American controls, 2,938 East Asian ancestry controls, 3,141 Latino controls	4,599 European ancestry cases, 2,265 African American cases, 2,940 European ancestry controls, 2,414 African American controls	8q24.21	NR	PCAT1, PRNCR1, CASC19			ENSG00000253438, ENSG00000282961, ENSG00000254166			rs13252298-A	rs13252298	0	13252298	non_coding_transcript_exon_variant	0	0.71	2E-6	5.698970004336019		1.11	[1.06-1.16]	Affymetrix [up to 19977088] (imputed)	N
22	rs1456316	8	128103937	rs1456315	2010-09-11	20676098	Takata R	2010-08-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20676098	Genome-wide association study identifies five new susceptibility loci for prostate cancer in the Japanese population.	Prostate cancer	1,583 Japanese ancestry cases, 3,386 Japanese ancestry controls	3,001 Japanese ancestry cases, 5,415 Japanese ancestry controls	8q24.21	intergenic	CASC19, PCAT1, PRNCR1			ENSG00000254166, ENSG00000253438, ENSG00000282961			rs1456315-?	rs1456315	0	1456315	non_coding_transcript_exon_variant	0	NR	2E-29	28.69897000433602				Illumina [510687]	N
22	rs1456316	8	128103937	rs1456315	2012-12-11	23023329	Xu J	2012-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23023329	Genome-wide association study in Chinese men identifies two new prostate cancer risk loci at 9q31.2 and 19q13.4.	Prostate cancer	1,417 Han Chinese ancestry cases, 1,008 Han Chinese ancestry controls	3,067 Han Chinese ancestry cases, 7,926 Han Chinese ancestry controls	8q24.21	intergenic	CASC19, PCAT1, PRNCR1			ENSG00000254166, ENSG00000253438, ENSG00000282961			rs1456315-?	rs1456315	0	1456315	non_coding_transcript_exon_variant	0	NR	1E-12	12.0				Illumina [587294]	N
22	rs56005245	8	128103969	rs72725879	2016-07-15	26034056	Hoffmann TJ	2015-06-01	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/26034056	A large multiethnic genome-wide association study of prostate cancer identifies novel risk variants and substantial ethnic differences.	Prostate cancer	6,406 European ancestry cases, 601 African American cases, 288 East Asian ancestry cases, 488 Latino cases30,866 European ancestry controls, 1,650 African American controls, 2,938 East Asian ancestry controls, 3,141 Latino controls	4,599 European ancestry cases, 2,265 African American cases, 2,940 European ancestry controls, 2,414 African American controls	8q24.21	NR	CASC19, PCAT1, PRNCR1			ENSG00000254166, ENSG00000253438, ENSG00000282961			rs72725879-T	rs72725879	0	72725879	non_coding_transcript_exon_variant	0	0.667	3E-8	7.522878745280337	(conditioned, East Asian)	1.92	[1.54-2.44]	Affymetrix [up to 19977088] (imputed)	N
22	rs183373024	8	128104117	rs183373024	2018-08-14	29892016	Schumacher FR	2018-06-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29892016	Association analyses of more than 140,000 men identify 63 new prostate cancer susceptibility loci.	Prostate cancer	79,148 European ancestry cases, 61,106 European ancestry controls	NA	8q24.21	NR	PCAT1, CASC19, PRNCR1			ENSG00000253438, ENSG00000254166, ENSG00000282961			rs183373024-G	rs183373024	0	183373024	non_coding_transcript_exon_variant	0	0.01	4E-160	159.39794000867204		2.91	[2.69-3.14]	Illumina [20370935] (imputed)	N
22	rs1456316	8	128104343	rs13254738	2012-10-23	22923026	Cheng I	2012-08-24	Cancer Epidemiol Biomarkers Prev	www.ncbi.nlm.nih.gov/pubmed/22923026	Evaluating genetic risk for prostate cancer among Japanese and Latinos.	Prostate cancer	1,033 Japanese ancestry cases, 1,042 Japanese ancestry controls, 1,043 Latino cases, 1,057 Latino controls	1,583 Japanese ancestry cases, 3,386 Japanese ancestry  controls, 1,854 European ancestry cases, 3,748 European ancestry controls	8q24.21	NR	PRNCR1, PCAT1, CASC19			ENSG00000282961, ENSG00000253438, ENSG00000254166			rs13254738-C	rs13254738	0	13254738	non_coding_transcript_exon_variant	0	0.54	4E-10	9.397940008672037	(Japanese)	1.59	[1.38-1.84]	Illumina [528023]	N
22	rs16901948	8	128106784	rs12682344	2014-11-07	24753544	Knipe DW	2014-04-21	Cancer Epidemiol Biomarkers Prev	www.ncbi.nlm.nih.gov/pubmed/24753544	Genetic variation in prostate-specific antigen-detected prostate cancer and the effect of control selection on genetic association studies.	Prostate cancer	1,146 European ancestry cases, 1,804 European ancestry controls	1,854 European ancestry cases, 1,437 European ancestry controls	8q24.21	SRRM1P1, POU5F1B	CASC19, PCAT1			ENSG00000254166, ENSG00000253438			rs12682344-G	rs12682344	0	12682344	intron_variant	0		5E-12	11.301029995663981		0.67	[0.48-0.86] unit increase	Illumina [514432] (imputed)	N
22	rs16901948	8	128106880	rs6983561	2012-10-23	22923026	Cheng I	2012-08-24	Cancer Epidemiol Biomarkers Prev	www.ncbi.nlm.nih.gov/pubmed/22923026	Evaluating genetic risk for prostate cancer among Japanese and Latinos.	Prostate cancer	1,033 Japanese ancestry cases, 1,042 Japanese ancestry controls, 1,043 Latino cases, 1,057 Latino controls	1,583 Japanese ancestry cases, 3,386 Japanese ancestry  controls, 1,854 European ancestry cases, 3,748 European ancestry controls	8q24.21	NR	PCAT1, CASC19			ENSG00000253438, ENSG00000254166			rs6983561-C	rs6983561	0	6983561	intron_variant	0	0.18	4E-13	12.397940008672037	(Japanese)	1.87	[1.58-2.22]	Illumina [528023]	N
22	rs16901948	8	128106880	rs6983561	2016-07-15	26034056	Hoffmann TJ	2015-06-01	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/26034056	A large multiethnic genome-wide association study of prostate cancer identifies novel risk variants and substantial ethnic differences.	Prostate cancer	6,406 European ancestry cases, 601 African American cases, 288 East Asian ancestry cases, 488 Latino cases30,866 European ancestry controls, 1,650 African American controls, 2,938 East Asian ancestry controls, 3,141 Latino controls	4,599 European ancestry cases, 2,265 African American cases, 2,940 European ancestry controls, 2,414 African American controls	8q24.21	NR	PCAT1, CASC19			ENSG00000253438, ENSG00000254166			rs6983561-C	rs6983561	0	6983561	intron_variant	0	0.035	5E-19	18.30102999566398	(European)	1.61	[1.45-1.78]	Affymetrix [up to 19977088] (imputed)	N
22	rs16901948	8	128106880	rs6983561	2016-07-15	26034056	Hoffmann TJ	2015-06-01	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/26034056	A large multiethnic genome-wide association study of prostate cancer identifies novel risk variants and substantial ethnic differences.	Prostate cancer	6,406 European ancestry cases, 601 African American cases, 288 East Asian ancestry cases, 488 Latino cases30,866 European ancestry controls, 1,650 African American controls, 2,938 East Asian ancestry controls, 3,141 Latino controls	4,599 European ancestry cases, 2,265 African American cases, 2,940 European ancestry controls, 2,414 African American controls	8q24.21	NR	PCAT1, CASC19			ENSG00000253438, ENSG00000254166			rs6983561-C	rs6983561	0	6983561	intron_variant	0	0.035	6E-22	21.221848749616356		1.45	[1.34-1.56]	Affymetrix [up to 19977088] (imputed)	N
22	rs16901948	8	128109930	rs7830341	2016-01-27	25673413	Locke AE	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673413	Genetic studies of body mass index yield new insights for obesity biology.	Body mass index	up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals	up to 48,274 European ancestry male individuals, up to 39,864 European ancestry female individuals, 2,441 African American or Afro-Caribbean male individuals, 6,314 African American or Afro-Caribbean female individuals, 919 Filipino male individuals, 828 Filipino female individuals, 205 Seychellois male individuals, 287 Seychellois female individuals, 2,964 South Asian ancestry male individuals, 658 South Asian ancestry female individuals	8q24.21	PCAT1	PCAT1, CASC19			ENSG00000253438, ENSG00000254166			rs7830341-G	rs7830341	0	7830341	intron_variant	0	0.964	7E-6	5.154901959985743	(EA, men)	0.068	[0.039-0.098] kg/m2 increase	Affymetrix, Illumina [2550021]	N
22	rs56005245	8	128113426	rs56005245	2017-02-03	27262462	Teerlink CC	2016-06-04	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/27262462	Genome-wide association of familial prostate cancer cases identifies evidence for a rare segregating haplotype at 8q24.21.	Prostate cancer	2,511 European ancestry cases, 1,382 European ancestry controls	NA	8q24.21	PRNCR1	PCAT1, CASC19			ENSG00000253438, ENSG00000254166			rs56005245-T	rs56005245	0	56005245	intron_variant	0	0.225	1E-8	8.0		1.41	[1.25-1.59]	Illumina [~ 9400000] (imputed)	N
22	rs16901948	8	128124916	rs16901979	2008-06-16	17401366	Gudmundsson J	2007-04-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17401366	Genome-wide association study identifies a second prostate cancer susceptibility variant at 8q24.	Prostate cancer	1,453 European ancestry cases, 3,064 European ancestry controls	1,210 European ancestry cases, 2,445 European ancestry controls, 373 African American cases, 372 African American controls	8q24.21	intergenic	CASC19, PCAT1			ENSG00000254166, ENSG00000253438			rs16901979-A	rs16901979	0	16901979	intron_variant	0	0.03	1E-12	12.0	(EA)	1.79	[1.53-2.11]	Illumina [316515]	N
22	rs16901948	8	128124916	rs16901979	2009-10-05	19767754	Gudmundsson J	2009-09-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19767754	Genome-wide association and replication studies identify four variants associated with prostate cancer susceptibility.	Prostate cancer	Up to 1,968 European ancestry cases, 35,382 European ancestry controls	Up to 11,806 European ancestry cases, 12,387 European ancestry controls	8q24.21	intergenic	CASC19, PCAT1			ENSG00000254166, ENSG00000253438			rs16901979-A	rs16901979	0	16901979	intron_variant	0	0.04	3E-14	13.522878745280337		1.8	[1.55-2.09]	Illumina [310520]	N
22	rs16901948	8	128124916	rs16901979	2016-02-12	25939597	Berndt SI	2015-05-05	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/25939597	Two susceptibility loci identified for prostate cancer aggressiveness.	Prostate cancer	4,600 European ancestry cases, 2,941 European ancestry controls	7,779 European ancestry cases, 7,623 European ancestry controls	8q24.21	NR	CASC19, PCAT1			ENSG00000254166, ENSG00000253438			rs16901979-A	rs16901979	0	16901979	intron_variant	0	0.029	5E-9	8.301029995663981		1.65	[1.39-1.95]	Illumina [1531807] (imputed)	N
22	rs16901948	8	128124916	rs16901979	2016-06-13	26443449	Wang M	2015-10-07	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26443449	Large-scale association analysis in Asians identifies new susceptibility loci for prostate cancer.	Prostate cancer	3,000 East Asian ancestry cases, 4,394 East Asian ancestry controls	3,605 East Asian ancestry cases, 3,919 East Asian ancestry controls	8q24.21	POU5F1B	CASC19, PCAT1			ENSG00000254166, ENSG00000253438			rs16901979-A	rs16901979	0	16901979	intron_variant	0	NR	1E-16	16.0		1.3888888	[NR]	Illumina [4550396] (imputed)	N
22	rs16901948	8	128125195	rs10505483	2012-10-23	22923026	Cheng I	2012-08-24	Cancer Epidemiol Biomarkers Prev	www.ncbi.nlm.nih.gov/pubmed/22923026	Evaluating genetic risk for prostate cancer among Japanese and Latinos.	Prostate cancer	1,033 Japanese ancestry cases, 1,042 Japanese ancestry controls, 1,043 Latino cases, 1,057 Latino controls	1,583 Japanese ancestry cases, 3,386 Japanese ancestry  controls, 1,854 European ancestry cases, 3,748 European ancestry controls	8q24.21	NR	CASC19, PCAT1			ENSG00000254166, ENSG00000253438			rs10505483-T	rs10505483	0	10505483	intron_variant	0	NR	7E-15	14.154901959985743	(Japanese and Latin American)	1.73	NR	Illumina [528023]	N
22	rs191785584	8	128183871	rs191785584	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Waist-hip ratio	approximately 458,000 European ancestry individuals	NA	8q24.21		PCAT1, CASC19			ENSG00000253438, ENSG00000254166			rs191785584-?	rs191785584	0	191785584	intron_variant	0	NR	2E-9	8.698970004336019				NR [~ 8900000] (imputed)	N
22	rs183373024	8	128191672	rs188140481	2015-05-15	23104005	Gudmundsson J	2012-10-28	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23104005	A study based on whole-genome sequencing yields a rare variant at 8q24 associated with prostate cancer.	Prostate cancer	5,141 European ancestry cases, 54,444 European ancestry controls	Up to 5,470 European ancestry cases, up to 7,583 European ancestry controls	8q24.21	HOXB13	CASC19, PCAT1			ENSG00000254166, ENSG00000253438			rs188140481-A	rs188140481	0	188140481	non_coding_transcript_exon_variant	0	0.054	6E-34	33.221848749616356		2.9	[2.44-3.44]	Illumina [~ 32500000] (imputed)	N
22	rs183373024	8	128208369	rs138042437	2017-02-03	27262462	Teerlink CC	2016-06-04	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/27262462	Genome-wide association of familial prostate cancer cases identifies evidence for a rare segregating haplotype at 8q24.21.	Prostate cancer	2,511 European ancestry cases, 1,382 European ancestry controls	NA	8q24.21	CASC19	CASC19, PCAT1			ENSG00000254166, ENSG00000253438			rs138042437-G	rs138042437	0	138042437	intron_variant	0	0.015	2E-8	7.698970004336019		13.25	[5.37-32.69]	Illumina [~ 9400000] (imputed)	N
22	rs6980979	8	128281708	rs1962471	2018-09-20	30019117	Liu J	2018-07-17	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30019117	The coexistence of copy number variations (CNVs) and single nucleotide polymorphisms (SNPs) at a locus can result in distorted calculations of the significance in associating SNPs to disease.	Adolescent idiopathic scoliosis	196 cases, 303 controls	NA	8q24.21	NR	PCAT1			ENSG00000253438			rs1962471-?	rs1962471	0	1962471	intron_variant	0	NR	4E-7	6.3979400086720375				Affymetrix [NR]	N
22	rs11774287	8	128320346	rs16902094	2009-10-05	19767754	Gudmundsson J	2009-09-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19767754	Genome-wide association and replication studies identify four variants associated with prostate cancer susceptibility.	Prostate cancer	Up to 1,968 European ancestry cases, 35,382 European ancestry controls	Up to 11,806 European ancestry cases, 12,387 European ancestry controls	8q24.21	intergenic	PCAT1, CASC8			ENSG00000253438, ENSG00000246228			rs16902094-G	rs16902094	0	16902094	intron_variant	0	0.15	6E-15	14.221848749616356		1.21	[1.15-1.26]	Illumina [310520]	N
22	rs1668875	8	128323181	rs445114	2009-10-05	19767754	Gudmundsson J	2009-09-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19767754	Genome-wide association and replication studies identify four variants associated with prostate cancer susceptibility.	Prostate cancer	Up to 1,968 European ancestry cases, 35,382 European ancestry controls	Up to 11,806 European ancestry cases, 12,387 European ancestry controls	8q24.21	intergenic	PCAT1, CASC8			ENSG00000253438, ENSG00000246228			rs445114-T	rs445114	0	445114	intron_variant	0	0.64	5E-10	9.301029995663981		1.14	[1.10-1.19]	Illumina [310520]	N
22	rs1668875	8	128323181	rs445114	2011-07-30	21743057	Schumacher FR	2011-07-08	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/21743057	Genome-wide association study identifies new prostate cancer susceptibility loci.	Prostate cancer	2,782 European ancestry cases, 4,458 European ancestry controls	7,358 European ancestry cases, 6,732 European ancestry controls	8q24.21	intergenic	PCAT1, CASC8			ENSG00000253438, ENSG00000246228			rs445114-T	rs445114	0	445114	intron_variant	0	NR	5E-7	6.301029995663981		1.22	[1.12-1.32]	Illumina [571243]	N
22	rs1668875	8	128323819	rs378854	2017-08-14	28430825	Ng MCY	2017-04-21	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/28430825	Discovery and fine-mapping of adiposity loci using high density imputation of genome-wide association studies in individuals of African ancestry: African Ancestry Anthropometry Genetics Consortium.	Waist-to-hip ratio adjusted for body mass index	4,783 African American men, 15,601 African American women	981 African American men, 1,730 African American women, 104,079 European ancestry men, 116,742 European ancestry women	8q24.21	CASC8	CASC8, PCAT1			ENSG00000246228, ENSG00000253438			rs378854-C	rs378854	0	378854	non_coding_transcript_exon_variant	0	0.787	3E-9	8.522878745280337	(Women)	0.06	[0.033-0.087] unit increase	Affymetrix, Illumina [20502658] (imputed)	N
22	rs11774287	8	128323891	rs4506170	2017-02-03	27262462	Teerlink CC	2016-06-04	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/27262462	Genome-wide association of familial prostate cancer cases identifies evidence for a rare segregating haplotype at 8q24.21.	Prostate cancer	2,511 European ancestry cases, 1,382 European ancestry controls	NA	8q24.21	CASC8, CASC21	CASC8, PCAT1			ENSG00000246228, ENSG00000253438			rs4506170-C	rs4506170	0	4506170	non_coding_transcript_exon_variant	0	0.166	2E-9	8.698970004336019		1.51	[1.32-1.73]	Illumina [~ 9400000] (imputed)	N
22	rs1668875	8	128335673	rs620861	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Waist-hip ratio	approximately 458,000 European ancestry individuals	NA	8q24.21		POU5F1B, CASC8, PCAT1			ENSG00000212993, ENSG00000246228, ENSG00000253438			rs620861-?	rs620861	0	620861	intron_variant	0	NR	6E-17	16.221848749616356				NR [~ 8900000] (imputed)	N
22	rs11774287	8	128340908	rs16902104	2016-07-15	26034056	Hoffmann TJ	2015-06-01	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/26034056	A large multiethnic genome-wide association study of prostate cancer identifies novel risk variants and substantial ethnic differences.	Prostate cancer	6,406 European ancestry cases, 601 African American cases, 288 East Asian ancestry cases, 488 Latino cases30,866 European ancestry controls, 1,650 African American controls, 2,938 East Asian ancestry controls, 3,141 Latino controls	4,599 European ancestry cases, 2,265 African American cases, 2,940 European ancestry controls, 2,414 African American controls	8q24.21	NR	CASC8, PCAT1, POU5F1B			ENSG00000246228, ENSG00000253438, ENSG00000212993			rs16902104-T	rs16902104	0	16902104	intron_variant	0	0.14	1E-9	9.0		1.18	[1.12-1.25]	Affymetrix [up to 19977088] (imputed)	N
22	rs11774287	8	128340908	rs16902104	2016-07-15	26034056	Hoffmann TJ	2015-06-01	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/26034056	A large multiethnic genome-wide association study of prostate cancer identifies novel risk variants and substantial ethnic differences.	Prostate cancer	6,406 European ancestry cases, 601 African American cases, 288 East Asian ancestry cases, 488 Latino cases30,866 European ancestry controls, 1,650 African American controls, 2,938 East Asian ancestry controls, 3,141 Latino controls	4,599 European ancestry cases, 2,265 African American cases, 2,940 European ancestry controls, 2,414 African American controls	8q24.21	NR	CASC8, PCAT1, POU5F1B			ENSG00000246228, ENSG00000253438, ENSG00000212993			rs16902104-T	rs16902104	0	16902104	intron_variant	0	0.14	5E-10	9.301029995663981	(European)	1.21	[1.14-1.28]	Affymetrix [up to 19977088] (imputed)	N
22	rs10956359	8	128342866	rs17464492	2017-05-25	28139693	Hoffmann TJ	2017-01-31	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28139693	Genome-wide association study of prostate-specific antigen levels identifies novel loci independent of prostate cancer.	Prostate-specific antigen levels (conditioned on lead SNPs)	28,503 European ancestry individuals	2,716 Latino individuals, 2,518 East Asian ancestry individuals, 1,585 African American individuals, 6,193 European ancestry individuals (later diagnosed with prostate cancer)	8q24.21	MYC	CASC8, POU5F1B, PCAT1			ENSG00000246228, ENSG00000212993, ENSG00000253438			rs17464492-?	rs17464492	0	17464492	intron_variant	0	0.71	2E-10	9.698970004336019	(conditional on Round 1 SNPs)	0.04	unit increase	Affymetrix [10109774] (imputed)	N
22	rs6983267	8	128407443	rs10505477	2008-06-16	17618283	Zanke BW	2007-07-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17618283	Genome-wide association scan identifies a colorectal cancer susceptibility locus on chromosome 8q24.	Colorectal cancer	1,257 cases, 1,336 controls	5,084 European ancestry cases, 5,388 European ancestry controls, 1,139 cases, 1,055 controls	8q24.21	ORF DQ515897	PCAT1, POU5F1B, CASC8			ENSG00000253438, ENSG00000212993, ENSG00000246228			rs10505477-A	rs10505477	0	10505477	intron_variant	0	0.50	3E-11	10.522878745280337		1.17	[1.12-1.23]	Affymetrix, Illumina [99632]	N
22	rs6983267	8	128407443	rs10505477	2014-11-08	24737748	Whiffin N	2014-04-15	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24737748	Identification of susceptibility loci for colorectal cancer in a genome-wide meta-analysis.	Colorectal cancer	5,626 European ancestry cases, 7,817 European ancestry controls	14,037 European ancestry cases, 15,937 European ancestry controls	8q24.21	MYC	PCAT1, POU5F1B, CASC8			ENSG00000253438, ENSG00000212993, ENSG00000246228			rs10505477-T	rs10505477	0	10505477	intron_variant	0	0.54	8E-13	12.096910013008056		1.198	[NR]	Illumina [NR] (imputed)	N
22	rs6983267	8	128407443	rs10505477	2014-11-09	24740154	Lange EM	2014-04-16	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24740154	Genome-wide association scan for variants associated with early-onset prostate cancer.	Prostate cancer (early onset)	931 European ancestry cases, 4,120 European ancestry controls	2,571 European ancestry cases, 921 European ancestry controls	8q24.21	MYC	PCAT1, POU5F1B, CASC8			ENSG00000253438, ENSG00000212993, ENSG00000246228			rs10505477-A	rs10505477	0	10505477	intron_variant	0	0.49	9E-9	8.045757490560675		1.39	[1.28-1.50]	Illumina [2639562] (imputed)	N
